Ano do Evento;Nome do Evento;Evento Gratuito;Qtd Total de Inscritos;Qtd Concluintes;Valor Recebido;% de Ocupação
2018;Criando e Inovando na Crise.;Sim;17;17;0;0.944444444
2018;Criando um e-commerce de nicho do zero: desafios e aprendizados;Não;246;246;6150;0.984
2018;CRIATIVO. EU?;Sim;31;31;0;0.258333333
2018;CRIE NEGÓCIOS ALINHADOS COM O NOSSO MUNDO;Sim;53;52;0;0.26
2018;CUIDE BEM DO SEU DINHEIRO: Controle financeiro Pessoal #EXPONEGOCIO;Sim;37;32;0;0.64
2018;Cultivo agroecológico para a Agricultura familiar;Sim;8;0;0;-
2018;Cultivo da Palma Irrigada adensada;Sim;9;0;0;-
2018;Cultivo do Morango através do sistema semi-hidropônico;Sim;5;0;0;-
2018;CULTIVO INTENSIVO;Sim;13;13;0;0.144444444
2018;CUPULATE. UM INGREDIENTE GENUINAMENTE BRASILEIRO;Sim;15;15;0;0.1
2018;CURSO- EMPREENDA ATRAVÉS DA ORATÓRIA:SAIBA COMO SE EXPRESSAR PARA SE DAR BEM NOS NEGÓCIOS;Não;23;23;1980;1
2018;Curso - A Comunicação nas Negociações para Vender;Não;24;24;1200;0.6
2018;Curso - Administração do Tempo;Não;22;20;1700;0.666666667
2018;Curso - Administrarão do Tempo;Não;15;15;750;0.5
2018;Curso - Como Atender Melhor Seu Cliente;Não;180;174;12748;0.725
2018;Curso - Como Atender Melhor Seu Cliente;Sim;37;21;0;0.7
2018;Curso - Como Atender Melhor Seu Cliente - Queimadas;Não;26;26;1040;0.866666667
2018;CURSO - COMO MELHORAR SUAS VENDAS;Não;14;14;2280;0.466666667
2018;CURSO - Empreenda através da ORATÓRIA: Saiba como se expressar;Não;25;25;2160;0.714285714
2018;Curso - Empretec;Não;75;73;54800;0.598360656
2018;CURSO - EMPRETEC - 1;Não;23;23;17600;0.741935484
2018;CURSO - EMPRETEC - 2;Não;20;19;16000;0.666666667
2018;CURSO - GESTÃO BÁSICA;Sim;11;11;0;0.44
2018;CURSO - GESTÃO FINANCEIRA;Não;15;11;1890;0.5
2018;Curso - Gestão Financeira - Intermediário;Não;15;12;1380;0.4
2018;Curso - Instalador de Vidros Temperados;Sim;15;15;0;0.5
2018;Curso - Instaladores de Vidros Temperados 2;Sim;13;13;0;0.371428571
2018;Curso - Negócio Certo Rural - NCR;Sim;672;659;0;0.652468538
2018;Curso - Planejamento Estratégico - Intermediário;Não;18;11;1615;0.9
2018;CURSO - REVENUE MANAGEMENT E DISTRIBUIÇÃO HOTELEIRA.;Não;32;32;22400;0.914285714
2018;Curso - Técnicas de Vendas;Não;64;62;3500;0.688888889
2018;Curso - Técnicas de Vendas;Sim;11;11;0;0.44
2018;Curso - Técnicas de Vendas - GRUPO PET;Não;20;20;1800;1
2018;CURSO - TÉCNICAS DE VENDAS: ESTRATÉGIAS DE COMO VENDER MAIS E MELHOR;Não;17;17;1530;1
2018;CURSO 8S DE QUALIDADE;Sim;16;16;0;0.64
2018;CURSO ADMINISTRAÇÃO DO TEMPO;Não;22;22;2000;0.956521739
2018;CURSO ANÁLISE E PLANEJAMENTO FINANCEIRO;Não;19;19;1530;0.633333333
2018;Curso Atendimento ao Cliente;Não;8;7;342.86;1
2018;Curso Atendimento ao Cliente;Sim;23;22;0;0.733333333
2018;Curso Atendimento ao Cliente - Recupere dívidas. invista na satisfação do cliente e obtenha grandes resultados com a fidelização;Não;19;17;720;0.485714286
2018;Curso Cerimonial;Sim;29;23;0;0.657142857
2018;Curso Cerimonial. Protocolo e Etiqueta - Queimadas;Não;39;39;1462.5;0.975
2018;CURSO COMO ATENDER MELHOR SEU CLIENTE;Não;41;36;3600;0.816326531
2018;Curso Como Atender Melhor seu Cliente;Não;217;195;37430;0.720689655
2018;Curso Como Atender Melhor seu Cliente;Sim;60;59;0;0.694117647
2018;Curso Como Melhorar Suas Vendas;Não;1;0;0;-
2018;Curso Conflitos de Co-founders e Gestão de pessoas;Não;32;32;3200;0.8
2018;CURSO CRÉDITO E RECUPERAÇÃO DE DÍVIDAS;Sim;22;19;0;0.633333333
2018;CURSO DE ATENDIMENTO AO CLIENTE;Sim;30;30;0;0.857142857
2018;CURSO DE CONDUTOR DE TRILHAS ECOLÓGICAS;Não;9;9;360;0.6
2018;Curso de Cortes Especiais;Não;13;13;2600;0.65
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL - PATOS - MÓDULO: CRIAÇÃO DE NOVAS EMPRESAS: A ATIVIDADE TURÍSTICA COMO FATOR DE DESENVOLVIMENTO LOCAL E REGIONAL;Sim;12;8;0;0.6
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL - PATOS - MÓDULO: LIDERANÇA E EMPREENDEDORISMO LOCAL;Sim;16;6;0;0.8
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL - PATOS - MÓDULO: O TERRITÓRIO E O DESENVOLVIMENTO LOCAL;Sim;9;9;0;0.45
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL - PATOS - MÓDULO: TERRITÓRIO CRIATIVO E EMPREENDEDORISMO;Sim;12;11;0;0.6
